,averageRating
0,6.8
1,5.2
2,6.1
3,6.4
4,7.0
5,6.5
6,6.5
7,6.4
8,6.4
9,6.8
10,4.9
11,6.7
12,6.9
13,7.6
14,5.2
15,5.4
16,6.2
17,5.9
18,6.7
19,7.3
20,5.5
21,7.1
22,5.6
23,5.3
24,6.7
25,5.7
26,6.2
27,7.0
28,7.3
29,4.3
30,3.1
31,4.8
32,7.7
33,5.5
34,6.2
35,6.4
36,7.3
37,6.0
38,5.2
39,5.6
40,4.3
41,6.5
42,6.1
43,4.8
44,5.0
45,4.8
46,4.6
47,4.5
48,5.0
49,7.7
50,5.5
51,5.7
52,4.3
53,7.1
54,6.9
55,6.5
56,2.5
57,5.1
58,4.2
59,4.3
60,6.7
61,5.6
62,6.4
63,5.6
64,5.1
65,5.2
66,4.0
67,6.4
68,4.4
69,5.3
70,5.7
71,6.0
72,5.1
73,5.2
74,6.3
75,6.7
76,5.2
77,7.9
78,5.9
79,3.4
80,5.1
81,3.2
82,5.5
83,6.3
84,5.7
85,3.4
86,3.9
87,4.6
88,6.2
89,6.0
90,6.6
91,6.0
92,3.2
93,6.0
94,5.3
95,3.6
96,5.8
97,4.8
98,4.9
99,6.8
100,4.6
101,6.7
102,6.8
103,3.5
104,3.9
105,5.3
106,7.2
107,7.6
108,5.8
109,7.1
110,6.3
111,5.7
112,6.6
113,5.0
114,6.6
115,5.0
116,4.6
117,4.3
118,7.5
119,3.8
120,2.7
121,7.0
122,3.7
123,7.0
124,6.2
125,3.7
126,6.0
127,5.2
128,4.5
129,7.1
130,7.1
131,5.8
132,4.1
133,5.8
134,5.3
135,5.7
136,5.6
137,6.5
138,5.4
139,5.5
140,7.6
141,4.6
142,6.5
143,6.7
144,6.9
145,6.1
146,4.3
147,6.1
148,5.7
149,4.1
150,6.1
151,6.4
152,6.3
153,6.0
154,3.7
155,4.0
156,6.8
157,5.9
158,6.1
159,6.4
160,7.0
161,5.6
162,5.7
163,6.8
164,5.7
165,4.4
166,6.6
167,7.5
168,5.1
169,6.9
170,8.2
171,3.7
172,5.0
173,4.0
174,6.7
175,7.2
176,5.2
177,6.5
178,5.0
179,7.0
180,5.7
181,5.0
182,8.5
183,7.3
184,6.0
185,5.0
186,7.1
187,8.1
188,6.8
189,3.4
190,5.8
191,5.5
192,4.3
193,6.4
194,7.3
195,5.1
196,4.6
197,6.6
198,6.8
199,6.8
200,4.8
201,5.2
202,5.0
203,2.4
204,8.0
205,6.5
206,3.5
207,5.5
208,6.3
209,3.7
210,5.4
211,4.7
212,6.1
213,4.5
214,6.9
215,4.3
216,6.1
217,5.4
218,5.0
219,6.4
220,6.4
221,5.3
222,5.6
223,5.6
224,7.5
225,6.4
226,8.3
227,6.3
228,5.9
229,6.8
230,6.3
231,7.1
232,6.9
233,7.0
234,6.9
235,7.3
236,7.2
237,2.7
238,5.5
239,5.0
240,5.4
241,6.4
242,2.3
243,5.5
244,6.7
245,5.8
246,6.4
247,6.2
248,4.6
249,6.2
250,5.6
251,5.7
252,6.3
253,6.4
254,5.3
255,6.0
256,7.1
257,7.1
258,2.8
259,6.9
260,6.5
261,4.2
262,5.2
263,7.6
264,7.1
265,6.3
266,5.3
267,5.8
268,5.3
269,6.4
270,5.4
271,6.6
272,5.9
273,6.4
274,7.0
275,4.5
276,5.5
277,4.2
278,5.9
279,6.3
280,7.8
281,5.2
282,5.9
283,5.6
284,5.0
285,7.4
286,8.2
287,5.9
288,4.5
289,4.0
290,5.1
291,6.5
292,6.3
293,7.1
294,4.4
295,4.5
296,4.7
297,6.6
298,7.4
299,6.1
300,7.2
301,4.8
