,numVotes
0,62
1,16
2,27
3,88049
4,27
5,258
6,39
7,183
8,38
9,26
10,20
11,7886
12,232
13,44
14,15
15,287
16,328
17,1759
18,67
19,44
20,25
21,399
22,145
23,345
24,1969
25,51
26,161
27,53
28,426
29,35
30,233
31,78
32,15
33,18
34,184
35,9
36,379
37,17
38,88
39,266
40,123
41,297
42,175
43,14
44,240
45,104
46,1949
47,43
48,83
49,1057
50,25
51,48
52,12
53,179
54,366
55,40
56,337
57,24
58,7
59,83
60,52
61,77
62,21
63,860
64,57
65,20
66,122
67,96
68,108
69,94
70,66
71,10
72,185
73,29
74,13
75,249
76,30
77,87
78,29
79,64
80,35
81,1801
82,97
83,234
84,31
85,54
86,392
87,85
88,61
89,122
90,517
91,355
92,36
93,2259
94,4415
95,152
96,44
97,37
98,20
99,112
100,597
101,32
102,30
103,143
104,1192
105,540
106,742
107,32
108,84
109,5545
110,46
111,909
112,10
113,133
114,117
115,765
116,213
117,31
118,1503
119,111
120,190
121,16
122,103
123,178
124,380
125,1681
126,205
127,8
128,122
129,2107
130,29
131,22
132,150
133,71
134,118
135,11
136,37
137,29
138,14
139,1451
140,25
141,1758
142,68
143,101
144,14
145,303
146,160
147,212
148,76
149,257
150,87
151,215
152,67
153,37
154,166
155,192
156,59
157,70
158,32
159,52
160,6
161,1651
162,2955
163,88
164,89
165,26
166,116
167,186
168,12
169,32
170,1597
171,50
172,46
173,1063
174,349
175,3367
176,68
177,13
178,5606
179,64
180,15
181,65
182,12
183,98
184,139
185,40
186,39
187,15
188,223
189,301
190,116
191,4525
192,34
193,14
194,50
195,40
196,2485
197,337
198,18
199,688
200,70
201,12
202,382
203,339
204,1980
205,268
206,19
207,41
208,88
209,675
210,182
211,108
212,13
213,157
214,225
215,30
216,14
217,418
218,27
219,2772
220,310
221,13
222,83
223,179
224,10659
225,42
226,80
227,13
228,260
229,252
230,3226
231,64
232,131
233,17
234,987
235,23
236,76
237,38
238,226
239,170
240,1020
241,72
242,851
243,26160
244,7346
245,91
246,320
247,31
248,664
249,36
250,11
251,54
252,241
253,18976
254,46
255,42
256,542
257,42
258,7
259,298
260,4057
261,400
262,56
263,9329
264,242
265,81
266,85
267,30060
268,52
269,201
270,42
271,15089
272,24
273,1057
274,27
275,156
276,4853
277,57
278,4086
279,65
280,989
281,309
282,42
283,50
284,818
285,8533
286,3139
287,43792
288,7
289,167
290,25
291,74629
292,1558
293,55
294,43
295,381
296,24
297,20
298,57
299,363
300,6682
301,56
302,177
303,194
304,154352
305,19
306,1802
307,367
308,166
309,253
310,471648
311,220
312,284
313,10551
314,237
315,150
316,47
317,457
318,86
319,100
320,9
321,189
322,54
323,24
324,5565
325,10
326,60
327,104
328,242
329,224
330,324
331,65
332,767
333,28
334,82
335,18
336,434
337,407
338,3893
339,31
340,21
341,119
342,170
343,1372
344,1421
345,38
346,46747
347,1762
348,25
349,85
350,1436
351,608
352,782
353,17231
354,39
355,511
356,26352
357,1243
358,230
359,5268
360,97
361,69
362,56
363,123
364,17226
365,26
366,114
367,365
368,16
369,130
370,148
371,40
372,18
373,896
374,15304
375,24
376,185
377,29
378,56
379,205
380,205
381,72
382,44
383,256
384,194
385,71
386,120
387,21
388,276
389,327
390,245
391,472
392,106
393,115
394,46
395,786
396,56530
397,125
398,1380
399,67
400,137
401,243
402,5524
403,259
404,619
405,987
406,354
407,2641
408,132
409,59
410,8410
411,401
412,343
413,9
414,519
415,2998
416,6179
417,1581
418,142
419,310
420,62
421,263
422,35
423,714
424,138
425,17
426,245
427,229
428,16
429,2634
430,1548
431,37
432,4901
433,43
434,641
435,13
436,1129
437,63843
438,155
439,52
440,114
441,25524
442,73
443,193
444,161
445,143
446,825
447,863
448,53
449,167
450,46
451,45
452,284004
453,424
454,15
455,360
456,279
457,16
458,68
459,9
460,2819
461,68548
462,94537
463,308
464,328
465,315
466,51
467,1159
468,20302
469,1049
470,363
471,81
472,2268
473,1121
474,225
475,7953
476,3141
477,107
478,500
479,128
480,8094
481,49
482,44
483,53
484,77
485,875
486,72
487,14
488,9
489,64811
490,375748
491,20
492,24
493,11439
494,39
495,5605
496,553
497,37
498,684
499,11
500,1045
501,161
502,29
503,44
504,148
505,1880
506,64
507,28
508,9
509,514
510,784
511,117
512,3185
513,35
514,16
515,41
516,238
517,2127
518,177
519,923
520,307
521,105
522,18
523,28315
524,517
525,72
526,11
527,19
528,1467
529,317
530,4164
531,514501
532,14
533,20
534,233
535,152
536,8
537,525
538,23
539,21
540,9946
541,8
542,18
543,117
544,14
545,23
546,1314
547,315
548,3519
549,61
550,37762
551,59
552,11
553,74
554,39
555,9
556,34
557,160
558,20
559,1579
560,1191
561,40
562,45
563,196
564,66
565,22204
566,10
567,48
568,18
569,278
570,23
571,1080
572,6601
573,137
574,55
575,300
576,7032
577,499
578,4756
579,59
580,5701
581,91749
582,25
583,15
584,7533
585,122
586,253
587,1856
588,35
589,28
590,76
591,30
592,1854
593,341
594,93
595,12821
596,4053
597,217
598,21608
599,227
600,74
601,162
602,1542
603,683
604,1036
